Filename 1,Filename 2,Max SSIM,Max nccorr,Max SSIM angle,Max nccorr angle,ROI 1 x,ROI 1 y,ROI 2 x,ROI 2 y
bat_111511_frame0221.jpg_bird_536808_frame0167.jp,g,0.8537732133562241,0.98782235,340,180,52,282,560,49
bat_111511_frame0221.jpg_bird_536808_frame0218.jp,g,0.6345132256381807,0.98883104,248,160,52,282,478,54
bat_111511_frame0221.jpg_bird_544506_frame0139.jp,g,0.9515422429786826,0.98520446,148,0,52,282,332,44
bat_111511_frame0221.jpg_bird_544506_frame0141.jp,g,0.9498833078137899,0.98619205,148,20,52,282,330,43
bat_111511_frame0221.jpg_bird_660746_frame0057.jp,g,0.984241081137297,0.98104435,128,268,52,282,558,358
bat_111511_frame0221.jpg_bird_660746_frame0101.jp,g,0.9780629596319967,0.98131466,244,344,52,282,545,297
bat_111511_frame0221.jpg_bird_714613_frame0156.jp,g,0.9983645863495239,0.9906324,172,0,52,282,511,242
bat_111511_frame0221.jpg_bird_714613_frame0161.jp,g,0.9846670275412923,0.98854226,260,0,52,282,513,214
bat_111511_frame0221.jpg_bird_714613_frame0180.jp,g,0.9968966863732712,0.9886901,340,0,52,282,488,194
bat_111511_frame0221.jpg_bird_714613_frame0216.jp,g,0.9979184107269299,0.98303664,332,108,52,282,452,58
bat_111511_frame0221.jpg_bird_775752_frame0141.jp,g,0.9984805180361837,0.9883307,352,140,52,282,108,131
bat_111511_frame0221.jpg_bird_775752_frame0149.jp,g,0.9845265536972758,0.97769743,260,160,52,282,99,111
bat_111511_frame0221.jpg_bird_775752_frame0154.jp,g,0.994574948116899,0.9839966,64,160,52,282,130,81
bat_111511_frame0221.jpg_bird_775752_frame0155.jp,g,0.9972169397320171,0.9856416,64,160,52,282,122,74
bat_111511_frame0221.jpg_bird_775752_frame0161.jp,g,0.9676609422458384,0.97263396,24,160,52,282,141,47
bat_111511_frame0221.jpg_bird_775752_frame0166.jp,g,0.8343995583893837,0.9814917,260,160,52,282,134,41
bat_111511_frame0221.jpg_bird_927881_frame0236.jp,g,0.7558458815568659,0.9742779,64,0,52,282,134,63
bat_111511_frame0221.jpg_bird_927881_frame0238.jp,g,0.9812219396894204,0.9909326,40,200,52,282,137,61
bat_111511_frame0221.jpg_bird_948603_frame0083.jp,g,0.997849949327865,0.9881819,44,200,52,282,581,82
bat_111511_frame0221.jpg_bird_948603_frame0119.jp,g,0.9988263633431542,0.99093485,88,160,52,282,526,123
bat_111511_frame0221.jpg_bird_965232_frame0143.jp,g,0.9880418989087639,0.98715395,228,60,52,282,179,50
bat_111511_frame0221.jpg_bird_965232_frame0147.jp,g,0.9831220830659072,0.9766749,8,0,52,282,165,51
bat_111511_frame0221.jpg_bird_981819_frame0114.jp,g,0.9894602902687548,0.9900034,188,0,52,282,595,198
bat_111511_frame0221.jpg_bird_981819_frame0119.jp,g,0.9947212331344029,0.9850425,228,160,52,282,592,181
bat_111511_frame0221.jpg_bird_981819_frame0145.jp,g,0.9891030790961154,0.9893163,188,252,52,282,503,85
bat_111511_frame0221.jpg_bird_981819_frame0153.jp,g,0.9918034971221603,0.9830546,72,88,52,282,474,53
bat_111603_frame0116.jpg_bird_185554_frame0115.jp,g,0.7040357561037827,0.9865559,264,88,567,349,552,349
bat_111603_frame0116.jpg_bird_185554_frame0217.jp,g,0.9571171643788586,0.98648524,80,68,567,349,142,47
bat_111603_frame0116.jpg_bird_185554_frame0224.jp,g,0.9953504477774456,0.98824465,256,252,567,349,115,87
bat_111603_frame0116.jpg_bird_185554_frame0226.jp,g,0.9855716413591161,0.98788655,88,248,567,349,107,83
bat_111603_frame0116.jpg_bird_194086_frame0010.jp,g,0.8040056410174685,0.9847219,184,32,567,349,509,81
bat_111603_frame0116.jpg_bird_194086_frame0014.jp,g,0.8008164127282024,0.9790705,180,200,567,349,503,82
bat_111603_frame0116.jpg_bird_239352_frame0027.jp,g,0.8656936129775976,0.98409903,236,32,567,349,86,200
bat_111603_frame0116.jpg_bird_239352_frame0045.jp,g,0.8205708786514107,0.98097384,164,200,567,349,44,133
bat_111603_frame0116.jpg_bird_239352_frame0052.jp,g,0.8348867376151292,0.9750626,52,32,567,349,113,95
bat_111603_frame0116.jpg_bird_239352_frame0057.jp,g,0.7926751193308775,0.97378516,44,224,567,349,105,74
bat_111603_frame0116.jpg_bird_288970_frame0169.jp,g,0.8310184026914382,0.9806167,248,88,567,349,556,223
bat_111603_frame0116.jpg_bird_288970_frame0175.jp,g,0.8167301103285904,0.9868394,248,72,567,349,552,207
bat_111603_frame0116.jpg_bird_344369_frame0116.jp,g,0.8430977127863737,0.98421335,156,340,567,349,583,294
bat_111603_frame0116.jpg_bird_344369_frame0136.jp,g,0.8477631845354835,0.9865263,156,180,567,349,533,283
bat_111603_frame0116.jpg_bird_418385_frame0313.jp,g,0.8728238564959333,0.9866196,236,180,567,349,80,164
bat_111603_frame0116.jpg_bird_418385_frame0341.jp,g,0.8762189638864956,0.9869245,156,340,567,349,31,136
bat_111603_frame0116.jpg_bird_438007_frame0200.jp,g,0.8829474405897523,0.9841998,180,4,567,349,537,147
bat_111603_frame0116.jpg_bird_438007_frame0223.jp,g,0.8761921947672493,0.9824085,184,12,567,349,576,135
