Filename 1,Filename 2,Max SSIM,Max nccorr,Max SSIM angle,Max nccorr angle,ROI 1 x,ROI 1 y,ROI 2 x,ROI 2 y
bat_111511_frame0112.jpg_bird_707931_frame0111.jp,g,0.7304206456301814,0.9899988,212,20,38,214,584,206
bat_111511_frame0112.jpg_bird_707931_frame0250.jp,g,0.7861339733170258,0.98798317,108,136,38,214,179,66
bat_111511_frame0112.jpg_bird_712994_frame0166.jp,g,0.7452511606682038,0.98940057,136,224,38,214,134,113
bat_111511_frame0112.jpg_bird_712994_frame0201.jp,g,0.7716047036232458,0.9887301,324,44,38,214,91,66
bat_111511_frame0112.jpg_bird_723075_frame0108.jp,g,0.7998927763770789,0.9867584,208,52,38,214,432,47
bat_111511_frame0112.jpg_bird_723075_frame0347.jp,g,0.788871983294967,0.98769015,192,20,38,214,57,164
bat_111511_frame0112.jpg_bird_733943_frame0116.jp,g,0.6804233446516654,0.9885818,140,200,38,214,602,138
bat_111511_frame0112.jpg_bird_733943_frame0160.jp,g,0.7876573000714133,0.9906178,316,252,38,214,477,56
bat_111511_frame0112.jpg_bird_771614_frame0127.jp,g,0.7819583194427634,0.9875473,168,72,38,214,35,255
bat_111511_frame0112.jpg_bird_771614_frame0138.jp,g,0.8571327741915433,0.9895571,348,252,38,214,70,249
bat_111511_frame0112.jpg_bird_785971_frame0122.jp,g,0.7770526316683634,0.9896094,316,0,38,214,477,265
bat_111511_frame0112.jpg_bird_785971_frame0147.jp,g,0.7852568956842194,0.99003977,316,44,38,214,428,191
bat_111511_frame0112.jpg_bird_786598_frame0155.jp,g,0.7574697183374935,0.99054956,208,44,38,214,132,87
bat_111511_frame0112.jpg_bird_786598_frame0174.jp,g,0.7473081667510454,0.989928,208,224,38,214,109,54
bat_111511_frame0221.jpg_bird_122589_frame0121.jp,g,0.9206108599540603,0.9832573,164,20,52,282,74,327
bat_111511_frame0221.jpg_bird_122589_frame0165.jp,g,0.9038075804380581,0.98089665,164,108,52,282,30,211
bat_111511_frame0221.jpg_bird_166055_frame0127.jp,g,0.8083724904301123,0.9850711,300,60,52,282,91,316
bat_111511_frame0221.jpg_bird_166055_frame0268.jp,g,0.9866982933691939,0.96559954,104,212,52,282,42,107
bat_111511_frame0221.jpg_bird_178456_frame0126.jp,g,0.7654619331074025,0.98739547,140,252,52,282,36,333
bat_111511_frame0221.jpg_bird_178456_frame0132.jp,g,0.6287337263992426,0.98728544,140,340,52,282,29,315
bat_111511_frame0221.jpg_bird_205215_frame0073.jp,g,0.8886395499910225,0.9850629,172,200,52,282,576,370
bat_111511_frame0221.jpg_bird_205215_frame0094.jp,g,0.8989841925831146,0.98695874,156,160,52,282,546,351
bat_111511_frame0221.jpg_bird_207660_frame0104.jp,g,0.80197460009291,0.9875845,104,340,52,282,73,356
bat_111511_frame0221.jpg_bird_207660_frame0136.jp,g,0.9485615633299279,0.9822198,260,68,52,282,45,225
bat_111511_frame0221.jpg_bird_226646_frame0005.jp,g,0.9636431810279412,0.9845407,332,200,52,282,373,103
bat_111511_frame0221.jpg_bird_226646_frame0297.jp,g,0.9857802673864132,0.98730165,40,160,52,282,71,149
bat_111511_frame0221.jpg_bird_236653_frame0032.jp,g,0.9929778550551632,0.9831552,24,0,52,282,573,215
bat_111511_frame0221.jpg_bird_236653_frame0114.jp,g,0.9456702815781693,0.98471713,36,108,52,282,368,119
bat_111511_frame0221.jpg_bird_250439_frame0139.jp,g,0.7858832326804279,0.98099416,200,160,52,282,597,157
bat_111511_frame0221.jpg_bird_250439_frame0177.jp,g,0.792903212735314,0.98110974,24,160,52,282,499,66
bat_111511_frame0221.jpg_bird_254284_frame0083.jp,g,0.9558397678118852,0.97512525,156,68,52,282,602,179
bat_111511_frame0221.jpg_bird_254284_frame0094.jp,g,0.9803618364159304,0.9850403,40,160,52,282,596,170
bat_111511_frame0221.jpg_bird_259525_frame0144.jp,g,0.763257016172481,0.9865359,296,160,52,282,163,73
bat_111511_frame0221.jpg_bird_259525_frame0155.jp,g,0.839010634858415,0.9807231,8,160,52,282,147,53
bat_111511_frame0221.jpg_bird_276789_frame0088.jp,g,0.8632457684429405,0.98176396,156,160,52,282,610,202
bat_111511_frame0221.jpg_bird_276789_frame0381.jp,g,0.8865862396342725,0.98275745,144,68,52,282,52,177
bat_111511_frame0221.jpg_bird_280023_frame0120.jp,g,0.5883973237090446,0.9830685,104,0,52,282,82,344
bat_111511_frame0221.jpg_bird_280023_frame0129.jp,g,0.7470114856115845,0.98557067,260,340,52,282,45,332
bat_111511_frame0221.jpg_bird_283326_frame0064.jp,g,0.7708843982593134,0.9873322,156,240,52,282,540,325
bat_111511_frame0221.jpg_bird_283326_frame0112.jp,g,0.7801861243262221,0.98031723,156,160,52,282,457,198
